indis,oyuncu1,oyuncu2,mac_sonucu,veri_indisi
0,trendyol_mistral,sambalingo_llama2,2,28543
1,trendyol_mistral,cosmos_llama3,2,28543
2,trendyol_mistral,meta_llama3,1,28543
3,sambalingo_llama2,cosmos_llama3,1,28543
4,sambalingo_llama2,meta_llama3,1,28543
5,cosmos_llama3,meta_llama3,1,28543
6,meta_llama3,sambalingo_llama2,1,9642
7,meta_llama3,cosmos_llama3,1,9642
8,meta_llama3,trendyol_mistral,2,9642
9,sambalingo_llama2,cosmos_llama3,2,9642
10,sambalingo_llama2,trendyol_mistral,2,9642
11,cosmos_llama3,trendyol_mistral,2,9642
12,meta_llama3,cosmos_llama3,1,6011
13,meta_llama3,trendyol_mistral,1,6011
14,meta_llama3,sambalingo_llama2,1,6011
15,cosmos_llama3,trendyol_mistral,2,6011
16,cosmos_llama3,sambalingo_llama2,2,6011
17,trendyol_mistral,sambalingo_llama2,2,6011
18,trendyol_mistral,cosmos_llama3,1,16772
19,trendyol_mistral,sambalingo_llama2,0,16772
20,trendyol_mistral,meta_llama3,1,16772
21,cosmos_llama3,sambalingo_llama2,2,16772
22,cosmos_llama3,meta_llama3,1,16772
23,sambalingo_llama2,meta_llama3,1,16772
24,sambalingo_llama2,trendyol_mistral,2,8214
25,sambalingo_llama2,meta_llama3,2,8214
26,sambalingo_llama2,cosmos_llama3,1,8214
27,trendyol_mistral,meta_llama3,2,8214
28,trendyol_mistral,cosmos_llama3,1,8214
29,meta_llama3,cosmos_llama3,1,8214
30,sambalingo_llama2,trendyol_mistral,-1,27623
31,sambalingo_llama2,cosmos_llama3,-1,27623
32,sambalingo_llama2,meta_llama3,-1,27623
33,trendyol_mistral,cosmos_llama3,-1,27623
34,trendyol_mistral,meta_llama3,-1,27623
35,cosmos_llama3,meta_llama3,-1,27623
36,cosmos_llama3,sambalingo_llama2,-1,11072
37,cosmos_llama3,meta_llama3,-1,11072
38,cosmos_llama3,trendyol_mistral,-1,11072
39,sambalingo_llama2,meta_llama3,-1,11072
40,sambalingo_llama2,trendyol_mistral,-1,11072
41,meta_llama3,trendyol_mistral,-1,11072
42,sambalingo_llama2,cosmos_llama3,-1,17657
43,sambalingo_llama2,meta_llama3,-1,17657
44,sambalingo_llama2,trendyol_mistral,-1,17657
45,cosmos_llama3,meta_llama3,-1,17657
46,cosmos_llama3,trendyol_mistral,-1,17657
47,meta_llama3,trendyol_mistral,-1,17657
48,cosmos_llama3,meta_llama3,-1,19568
